vibration out of range
vibration rough
excessive shaking and rattling
vibration not normal
vibration unsteady
constant vibration
vibration jarring
vibration extreme fluctuations
abnormal vibration levels
vibration frequent
vibration highly irregular.
vibration inconsistent levels
vibration jolting
vibration excessive levels
vibration constant levels
vibration uncontrollable
vibration inconsistent
vibration disturbing
unusual vibration
excessive shaking
vibration fluctuations
vibration random
vibration extreme levels
vibration high amplitude
excessive vibration levels
vibration unexpected
unusual levels of vibration
vibration unstable
vibration irregularity
vibration unpredictable
vibration intense
vibration irregular
vibration unmanageable
vibration not within range
vibration excessive
vibration erratic
vibration disconcerting
vibration persistent
vibration severe
uncontrolled vibration
vibration unsettling
vibration beyond limits
excessive vibration
vibration excessive amplitude
unusual vibration patterns
unusual vibration characteristics
vibration not steady
vibration abnormal
